区域名称,内存地址,坐标X,坐标Y,宽度W,高度H,Tileset ID
MinishWoods,0811C488,186,135,1008,1008,0
MinishVillage,0811C494,0,0,1008,1008,0
MinishVillage,0811C494,63,0,480,416,1
HyruleTown,0811C4AA,93,95,1008,960,0
HyruleTown,0811C4AA,60,196,400,960,1
HyruleField,0811C4C0,63,185,480,208,0
HyruleField,0811C4C0,93,155,1008,688,0
HyruleField,0811C4C0,156,185,480,208,0
HyruleField,0811C4C0,156,169,480,256,0
HyruleField,0811C4C0,156,135,480,544,1
HyruleField,0811C4C0,156,75,720,960,1
HyruleField,0811C4C0,93,45,1008,800,2
HyruleField,0811C4C0,63,75,480,960,0
HyruleField,0811C4C0,63,135,480,640,0
HyruleField,0811C4C0,63,175,480,160,0
CastorWilds,0811C526,0,105,1008,960,0
Ruins,0811C532,0,165,240,528,0
Ruins,0811C532,15,165,240,208,0
Ruins,0811C532,15,178,240,160,0
Ruins,0811C532,15,188,240,160,0
Ruins,0811C532,30,165,528,256,0
Ruins,0811C532,30,181,528,272,0
MtCrenel,0811C570,0,0,1008,224,0
MtCrenel,0811C570,0,14,384,608,0
MtCrenel,0811C570,24,14,624,608,0
MtCrenel,0811C570,0,52,1008,368,0
MtCrenel,0811C570,0,75,1008,480,0
CastleGarden,0811C5A4,93,12,1008,528,0
CloudTops,0811C5B0,186,0,1008,1008,0
CloudTops,0811C5B0,186,0,1008,1008,0
CloudTops,0811C5B0,186,0,1008,1008,0
RoyalValley,0811C5D0,63,12,480,1008,0
RoyalValley,0811C5D0,23,212,240,160,0
VeilFalls,0811C5E6,156,12,480,1008,0
LakeHylia,0811C5F2,201,75,768,960,0
LakeHylia,0811C5F2,186,63,1008,192,0
LakeWoodsCave,0811C608,0,0,1008,1008,0
Beanstalks,0811C614,68,0,240,160,0
Beanstalks,0811C614,17,0,240,160,0
Beanstalks,0811C614,34,0,240,160,0
Beanstalks,0811C614,51,0,240,160,0
Beanstalks,0811C614,0,0,240,160,0
Beanstalks,0811C614,0,0,0,0,65523
Beanstalks,0811C614,0,0,0,0,65523
Beanstalks,0811C614,0,0,480,192,1
Beanstalks,0811C614,0,0,1008,192,2
Beanstalks,0811C614,0,0,480,192,2
Beanstalks,0811C614,0,0,480,1008,2
Beanstalks,0811C614,0,0,480,1008,1
Beanstalks,0811C614,0,0,240,160,1
Beanstalks,0811C614,0,0,0,0,65523
Beanstalks,0811C614,0,0,0,0,65523
Beanstalks,0811C614,0,0,0,0,65523
Beanstalks,0811C614,0,12,240,160,0
Beanstalks,0811C614,17,12,240,160,0
Beanstalks,0811C614,34,12,240,160,0
Beanstalks,0811C614,51,12,240,160,0
Beanstalks,0811C614,68,12,240,160,0
HyruleDigCaves,0811C6EA,0,0,1008,960,0
MelarisMine,0811C6F6,0,0,720,624,0
MinishPaths,0811C702,2,4,240,800,0
MinishPaths,0811C702,22,4,240,800,1
MinishPaths,0811C702,42,4,240,800,2
MinishPaths,0811C702,62,4,240,800,2
MinishPaths,0811C702,80,4,240,800,1
CrenelMinishPaths,0811C736,4,4,240,800,0
CrenelMinishPaths,0811C736,24,4,240,800,0
CrenelMinishPaths,0811C736,44,4,800,192,1
CrenelMinishPaths,0811C736,44,20,800,192,2
DigCaves1,0811C760,0,0,480,544,0
DigCaves1,0811C760,0,0,0,0,65530
DigCaves1,0811C760,0,0,0,0,65530
DigCaves1,0811C760,0,40,480,960,0
CrenelDigCave,0811C78A,0,0,496,512,0
FestivalTown,0811C796,0,0,400,960,0
VeilFallsDigCave,0811C7A2,0,0,480,1008,0
CastorWildsDigCave,0811C7AE,0,0,1008,960,0
OuterFortressOfWinds,0811C7BA,0,0,944,208,0
OuterFortressOfWinds,0811C7BA,0,32,944,320,0
OuterFortressOfWinds,0811C7BA,0,56,944,208,0
OuterFortressOfWinds,0811C7BA,42,16,304,208,0
OuterFortressOfWinds,0811C7BA,0,16,240,208,0
HyliaDigCaves,0811C7EE,0,30,272,256,0
HyliaDigCaves,0811C7EE,0,0,1008,432,0
VeilFallsTop,0811C804,156,0,480,192,0
MinishHouseInteriors,0811C810,21,7,240,160,0
MinishHouseInteriors,0811C810,6,7,240,160,0
MinishHouseInteriors,0811C810,7,20,464,256,1
MinishHouseInteriors,0811C810,38,7,256,160,2
MinishHouseInteriors,0811C810,57,7,256,160,3
MinishHouseInteriors,0811C810,76,7,256,160,4
MinishHouseInteriors,0811C810,95,7,256,160,5
MinishHouseInteriors,0811C810,116,7,240,160,6
MinishHouseInteriors,0811C810,96,21,240,240,7
MinishHouseInteriors,0811C810,116,20,240,368,8
MinishHouseInteriors,0811C810,0,0,0,0,65535
MinishHouseInteriors,0811C810,0,0,0,0,65535
MinishHouseInteriors,0811C810,0,0,0,0,65535
MinishHouseInteriors,0811C810,0,0,0,0,65535
MinishHouseInteriors,0811C810,0,0,0,0,65535
MinishHouseInteriors,0811C810,0,0,0,0,65535
MinishHouseInteriors,0811C810,5,43,240,160,9
MinishHouseInteriors,0811C810,22,43,240,160,10
MinishHouseInteriors,0811C810,40,43,352,160,11
MinishHouseInteriors,0811C810,0,0,0,0,65535
MinishHouseInteriors,0811C810,0,0,0,0,65535
MinishHouseInteriors,0811C810,0,0,0,0,65535
MinishHouseInteriors,0811C810,0,0,0,0,65535
MinishHouseInteriors,0811C810,0,0,0,0,65535
MinishHouseInteriors,0811C810,0,0,0,0,65535
MinishHouseInteriors,0811C810,0,0,0,0,65535
MinishHouseInteriors,0811C810,0,0,0,0,65535
MinishHouseInteriors,0811C810,0,0,0,0,65535
MinishHouseInteriors,0811C810,0,0,0,0,65535
MinishHouseInteriors,0811C810,0,0,0,0,65535
MinishHouseInteriors,0811C810,0,0,0,0,65535
MinishHouseInteriors,0811C810,0,0,0,0,65535
MinishHouseInteriors,0811C810,1,61,240,160,12
MinishHouseInteriors,0811C810,19,61,240,160,13
MinishHouseInteriors,0811C810,37,61,240,160,14
MinishHouseInteriors,0811C810,55,61,240,160,15
MinishHouseInteriors,0811C810,72,61,240,160,16
MinishHouseInteriors,0811C810,91,61,240,160,17
MinishHouseInteriors,0811C810,109,61,240,160,18
MinishHouseInteriors,0811C810,109,49,240,160,19
HouseInteriors1,0811C9A2,0,0,272,192,0
HouseInteriors1,0811C9A2,18,0,240,176,0
HouseInteriors1,0811C9A2,34,0,240,176,0
HouseInteriors1,0811C9A2,51,0,352,256,0
HouseInteriors1,0811C9A2,76,11,336,160,0
HouseInteriors1,0811C9A2,81,0,240,160,0
HouseInteriors1,0811C9A2,97,0,240,160,0
HouseInteriors1,0811C9A2,113,0,240,160,0
HouseInteriors1,0811C9A2,98,11,240,160,0
HouseInteriors1,0811C9A2,113,11,240,448,0
HouseInteriors1,0811C9A2,97,22,240,160,0
